Date,Close,Market
1993-02-25,3365.139893,djia
1993-02-26,3370.8100590000004,djia
1993-03-01,3355.409912,djia
1993-03-02,3400.530029,djia
1993-03-03,3404.040039,djia
1993-03-04,3398.9099119999996,djia
1993-03-05,3404.580078,djia
1993-03-08,3469.419922,djia
1993-03-09,3472.1201170000004,djia
1993-03-10,3478.3400880000004,djia
1993-03-11,3457.0,djia
1993-03-12,3427.820068,djia
1993-03-15,3442.4099119999996,djia
1993-03-16,3442.9499509999996,djia
1993-03-17,3426.73999,djia
1993-03-18,3465.639893,djia
1993-03-19,3471.580078,djia
1993-03-22,3463.4799799999996,djia
1993-03-23,3461.860107,djia
1993-03-24,3445.3798829999996,djia
1993-03-25,3461.320068,djia
1993-03-26,3439.9799799999996,djia
1993-03-29,3455.100098,djia
1993-03-30,3457.2700200000004,djia
1993-03-31,3435.110107,djia
1993-04-01,3439.4399409999996,djia
1993-04-02,3370.8100590000004,djia
1993-04-05,3379.1899409999996,djia
1993-04-06,3377.570068,djia
1993-04-07,3397.0200200000004,djia
1993-04-08,3396.4799799999996,djia
1993-04-12,3428.0900880000004,djia
1993-04-13,3444.030029,djia
1993-04-14,3455.639893,djia
1993-04-15,3455.919922,djia
1993-04-16,3478.610107,djia
1993-04-19,3466.98999,djia
1993-04-20,3443.48999,djia
1993-04-21,3439.4399409999996,djia
1993-04-22,3429.169922,djia
1993-04-23,3413.7700200000004,djia
1993-04-26,3398.3701170000004,djia
1993-04-27,3415.929932,djia
1993-04-28,3413.5,djia
1993-04-29,3425.1201170000004,djia
1993-04-30,3427.5500490000004,djia
1993-05-03,3446.459961,djia
1993-05-04,3446.1899409999996,djia
1993-05-05,3449.100098,djia
1993-05-06,3441.899902,djia
1993-05-07,3437.1899409999996,djia
1993-05-10,3443.280029,djia
1993-05-11,3468.75,djia
1993-05-12,3482.3100590000004,djia
1993-05-13,3447.98999,djia
1993-05-14,3443.01001,djia
1993-05-17,3449.929932,djia
1993-05-18,3444.389893,djia
1993-05-19,3500.030029,djia
1993-05-20,3523.280029,djia
1993-05-21,3492.830078,djia
1993-05-24,3507.780029,djia
1993-05-25,3516.6298829999996,djia
1993-05-26,3540.1599119999996,djia
1993-05-27,3554.830078,djia
1993-05-28,3527.429932,djia
1993-06-01,3552.3400880000004,djia
1993-06-02,3553.4499509999996,djia
1993-06-03,3544.8701170000004,djia
1993-06-04,3545.139893,djia
1993-06-07,3532.1298829999996,djia
1993-06-08,3510.540039,djia
1993-06-09,3511.929932,djia
1993-06-10,3491.719971,djia
1993-06-11,3505.01001,djia
1993-06-14,3514.6899409999996,djia
1993-06-15,3492.0,djia
1993-06-16,3511.649902,djia
1993-06-17,3521.889893,djia
1993-06-18,3494.7700200000004,djia
1993-06-21,3510.820068,djia
1993-06-22,3497.530029,djia
1993-06-23,3466.8100590000004,djia
1993-06-24,3490.610107,djia
1993-06-25,3490.889893,djia
1993-06-28,3530.1999509999996,djia
1993-06-29,3518.850098,djia
1993-06-30,3516.080078,djia
1993-07-01,3510.540039,djia
1993-07-02,3483.969971,djia
1993-07-06,3449.929932,djia
1993-07-07,3475.669922,djia
1993-07-08,3514.419922,djia
1993-07-09,3521.0600590000004,djia
1993-07-12,3524.3798829999996,djia
1993-07-13,3515.4399409999996,djia
1993-07-14,3542.5500490000004,djia
1993-07-15,3550.929932,djia
1993-07-16,3528.290039,djia
1993-07-19,3535.280029,djia
1993-07-20,3544.780029,djia
1993-07-21,3555.399902,djia
1993-07-22,3525.219971,djia
1993-07-23,3546.73999,djia
1993-07-26,3567.6999509999996,djia
1993-07-27,3565.459961,djia
1993-07-28,3553.4499509999996,djia
1993-07-29,3567.419922,djia
1993-07-30,3539.469971,djia
1993-08-02,3560.98999,djia
1993-08-03,3561.2700200000004,djia
1993-08-04,3552.0500490000004,djia
1993-08-05,3548.969971,djia
1993-08-06,3560.429932,djia
1993-08-09,3576.080078,djia
1993-08-10,3572.7299799999996,djia
1993-08-11,3583.350098,djia
1993-08-12,3569.0900880000004,djia
1993-08-13,3569.649902,djia
1993-08-16,3579.149902,djia
1993-08-17,3586.9799799999996,djia
1993-08-18,3604.860107,djia
1993-08-19,3612.1298829999996,djia
1993-08-20,3615.4799799999996,djia
1993-08-23,3605.9799799999996,djia
1993-08-24,3638.959961,djia
1993-08-25,3652.0900880000004,djia
1993-08-26,3648.179932,djia
1993-08-27,3640.6298829999996,djia
1993-08-30,3643.98999,djia
1993-08-31,3651.25,djia
1993-09-01,3645.100098,djia
1993-09-02,3626.100098,djia
1993-09-03,3633.929932,djia
1993-09-07,3607.100098,djia
1993-09-08,3588.929932,djia
1993-09-09,3589.48999,djia
1993-09-10,3621.6298829999996,djia
1993-09-13,3634.209961,djia
1993-09-14,3615.76001,djia
1993-09-15,3633.649902,djia
1993-09-16,3630.850098,djia
1993-09-17,3613.25,djia
1993-09-20,3575.8000490000004,djia
1993-09-21,3537.23999,djia
1993-09-22,3547.0200200000004,djia
1993-09-23,3539.75,djia
1993-09-24,3543.110107,djia
1993-09-27,3567.6999509999996,djia
1993-09-28,3566.0200200000004,djia
1993-09-29,3566.3000490000004,djia
1993-09-30,3555.1201170000004,djia
1993-10-01,3581.110107,djia
1993-10-04,3577.76001,djia
1993-10-05,3587.26001,djia
1993-10-06,3598.98999,djia
1993-10-07,3583.6298829999996,djia
1993-10-08,3584.73999,djia
1993-10-11,3593.4099119999996,djia
1993-10-12,3593.1298829999996,djia
1993-10-13,3603.1899409999996,djia
1993-10-14,3621.6298829999996,djia
1993-10-15,3629.7299799999996,djia
1993-10-18,3642.3100590000004,djia
1993-10-19,3635.320068,djia
1993-10-20,3645.100098,djia
1993-10-21,3636.1599119999996,djia
1993-10-22,3649.3000490000004,djia
1993-10-25,3673.610107,djia
1993-10-26,3672.48999,djia
1993-10-27,3664.6599119999996,djia
1993-10-28,3687.860107,djia
1993-10-29,3680.5900880000004,djia
1993-11-01,3692.610107,djia
1993-11-02,3697.639893,djia
1993-11-03,3661.8701170000004,djia
1993-11-04,3624.9799799999996,djia
1993-11-05,3643.429932,djia
1993-11-08,3647.899902,djia
1993-11-09,3640.070068,djia
1993-11-10,3663.5500490000004,djia
1993-11-11,3662.429932,djia
1993-11-12,3684.5,djia
1993-11-15,3677.5200200000004,djia
1993-11-16,3710.7700200000004,djia
1993-11-17,3704.350098,djia
1993-11-18,3685.3400880000004,djia
1993-11-19,3694.01001,djia
1993-11-22,3670.25,djia
1993-11-23,3674.169922,djia
1993-11-24,3687.580078,djia
1993-11-26,3683.9499509999996,djia
1993-11-29,3677.8000490000004,djia
1993-11-30,3683.9499509999996,djia
1993-12-01,3697.080078,djia
1993-12-02,3702.110107,djia
1993-12-03,3704.070068,djia
1993-12-06,3710.209961,djia
1993-12-07,3718.8798829999996,djia
1993-12-08,3734.530029,djia
1993-12-09,3729.780029,djia
1993-12-10,3740.669922,djia
1993-12-13,3764.429932,djia
1993-12-14,3742.6298829999996,djia
1993-12-15,3716.919922,djia
1993-12-16,3726.139893,djia
1993-12-17,3751.570068,djia
1993-12-20,3755.209961,djia
1993-12-21,3745.149902,djia
1993-12-22,3762.1899409999996,djia
1993-12-23,3757.719971,djia
1993-12-27,3792.929932,djia
1993-12-28,3793.7700200000004,djia
1993-12-29,3794.330078,djia
1993-12-30,3775.8798829999996,djia
1993-12-31,3754.0900880000004,djia
1994-01-03,3756.600098,djia
1994-01-04,3783.899902,djia
1994-01-05,3798.820068,djia
1994-01-06,3803.8798829999996,djia
1994-01-07,3820.7700200000004,djia
1994-01-10,3865.51001,djia
1994-01-11,3850.3100590000004,djia
1994-01-12,3848.6298829999996,djia
1994-01-13,3842.429932,djia
1994-01-14,3867.1999509999996,djia
1994-01-17,3870.290039,djia
1994-01-18,3870.290039,djia
1994-01-19,3884.3701170000004,djia
1994-01-20,3891.959961,djia
1994-01-21,3914.4799799999996,djia
1994-01-24,3912.790039,djia
1994-01-25,3895.3400880000004,djia
1994-01-26,3908.0,djia
1994-01-27,3926.3000490000004,djia
1994-01-28,3945.429932,djia
1994-01-31,3978.360107,djia
1994-02-01,3964.01001,djia
1994-02-02,3975.540039,djia
1994-02-03,3967.6599119999996,djia
1994-02-04,3871.419922,djia
1994-02-07,3906.320068,djia
1994-02-08,3906.030029,djia
1994-02-09,3931.919922,djia
1994-02-10,3895.3400880000004,djia
1994-02-11,3894.780029,djia
1994-02-14,3904.0600590000004,djia
1994-02-15,3928.2700200000004,djia
1994-02-16,3937.2700200000004,djia
1994-02-17,3922.639893,djia
1994-02-18,3887.459961,djia
1994-02-22,3911.6599119999996,djia
1994-02-23,3891.679932,djia
1994-02-24,3839.899902,djia
1994-02-25,3838.780029,djia
1994-02-28,3832.0200200000004,djia
1994-03-01,3809.2299799999996,djia
1994-03-02,3831.73999,djia
1994-03-03,3824.419922,djia
1994-03-04,3832.3000490000004,djia
1994-03-07,3856.219971,djia
1994-03-08,3851.719971,djia
1994-03-09,3853.4099119999996,djia
1994-03-10,3830.6201170000004,djia
1994-03-11,3862.6999509999996,djia
1994-03-14,3862.9799799999996,djia
1994-03-15,3849.5900880000004,djia
1994-03-16,3848.149902,djia
1994-03-17,3865.139893,djia
1994-03-18,3895.649902,djia
1994-03-21,3864.850098,djia
1994-03-22,3862.5500490000004,djia
1994-03-23,3869.459961,djia
1994-03-24,3821.0900880000004,djia
1994-03-25,3774.7299799999996,djia
1994-03-28,3762.350098,djia
1994-03-29,3699.0200200000004,djia
1994-03-30,3626.75,djia
1994-03-31,3635.959961,djia
1994-04-04,3593.350098,djia
1994-04-05,3675.4099119999996,djia
1994-04-06,3679.7299799999996,djia
1994-04-07,3693.26001,djia
1994-04-08,3674.26001,djia
1994-04-11,3688.830078,djia
1994-04-12,3681.6899409999996,djia
1994-04-13,3661.469971,djia
1994-04-14,3663.25,djia
1994-04-15,3661.469971,djia
1994-04-18,3620.419922,djia
1994-04-19,3619.820068,djia
1994-04-20,3598.709961,djia
1994-04-21,3652.540039,djia
1994-04-22,3648.679932,djia
1994-04-25,3705.780029,djia
1994-04-26,3699.540039,djia
1994-04-28,3668.3100590000004,djia
1994-04-29,3681.6899409999996,djia
1994-05-02,3701.0200200000004,djia
1994-05-03,3714.4099119999996,djia
1994-05-04,3697.75,djia
1994-05-05,3695.969971,djia
1994-05-06,3669.5,djia
1994-05-09,3629.040039,djia
1994-05-10,3656.4099119999996,djia
1994-05-11,3629.040039,djia
1994-05-12,3652.8400880000004,djia
1994-05-13,3659.679932,djia
1994-05-16,3671.5,djia
1994-05-17,3720.610107,djia
1994-05-18,3732.889893,djia
1994-05-19,3758.9799799999996,djia
1994-05-20,3766.350098,djia
1994-05-23,3742.4099119999996,djia
1994-05-24,3745.169922,djia
1994-05-25,3755.3000490000004,djia
1994-05-26,3753.459961,djia
1994-05-27,3757.139893,djia
1994-05-31,3758.3701170000004,djia
1994-06-01,3760.830078,djia
1994-06-02,3758.98999,djia
1994-06-03,3772.219971,djia
1994-06-06,3768.5200200000004,djia
1994-06-07,3755.9099119999996,djia
1994-06-08,3749.4499509999996,djia
1994-06-09,3753.139893,djia
1994-06-10,3773.4499509999996,djia
1994-06-13,3783.1201170000004,djia
1994-06-14,3814.830078,djia
1994-06-15,3790.4099119999996,djia
1994-06-16,3811.3400880000004,djia
1994-06-17,3776.780029,djia
1994-06-20,3741.899902,djia
1994-06-21,3707.969971,djia
1994-06-22,3724.7700200000004,djia
1994-06-23,3699.0900880000004,djia
1994-06-24,3636.9399409999996,djia
1994-06-27,3685.5,djia
1994-06-28,3669.639893,djia
1994-06-29,3667.0500490000004,djia
1994-06-30,3624.959961,djia
1994-07-01,3646.649902,djia
1994-07-05,3652.4799799999996,djia
1994-07-06,3674.5,djia
